team,GW,opponent_goals
1,1,0.0
1,2,1.0
1,3,3.0
1,4,4.0
1,5,6.0
1,6,8.0
1,7,11.0
1,8,12.0
1,9,13.0
1,10,13.0
1,11,15.0
1,12,16.0
1,13,16.0
1,14,18.0
1,15,20.0
1,16,21.0
1,17,24.0
1,18,24.0
1,19,24.0
1,20,25.0
1,21,26.0
1,22,28.0
1,23,29.0
1,24,30.0
1,25,32.0
1,26,32.0
1,27,36.0
1,29,39.0
1,30,40.0
1,31,41.0
1,32,43.0
1,33,47.0
1,34,49.0
1,35,50.0
1,36,51.0
1,37,53.0
1,38,53.0
2,1,0.0
2,2,1.0
2,3,2.0
2,4,4.0
2,5,4.0
2,6,4.0
2,7,6.0
2,8,8.0
2,9,13.0
2,10,15.0
2,11,15.0
2,12,16.0
2,13,17.0
2,14,19.0
2,15,21.0
2,16,22.0
2,17,23.0
2,18,23.0
2,19,24.0
2,20,25.0
2,21,25.0
2,22,27.0
2,23,28.0
2,24,29.0
2,25,31.0
2,26,32.0
2,27,34.0
2,29,34.0
2,30,34.0
2,31,35.0
2,32,36.0
2,33,36.0
2,34,36.0
2,35,36.0
2,36,38.0
2,37,39.0
2,38,40.0
3,1,0.0
3,2,1.0
3,3,3.0
3,4,4.0
3,5,5.0
3,6,8.0
3,7,11.0
3,8,13.0
3,9,13.0
3,10,13.0
3,11,13.0
3,12,14.0
3,13,15.0
3,14,16.0
3,15,18.0
3,16,18.0
3,17,18.0
3,18,19.0
3,19,19.0
3,20,20.0
3,21,20.0
3,22,20.0
3,23,20.0
3,24,20.0
3,25,23.0
3,26,25.0
3,27,26.0
3,28,26.0
3,29,28.0
3,30,29.0
3,31,29.0
3,32,29.0
3,33,30.0
3,34,32.0
3,35,32.0
3,36,36.0
3,37,37.0
3,38,37.0
4,1,0.0
4,2,3.0
4,3,4.0
4,4,4.0
4,5,4.0
4,6,5.0
4,7,5.0
4,8,5.0
4,9,8.0
4,10,9.0
4,11,12.0
4,12,14.0
4,13,15.0
4,14,15.0
4,15,16.0
4,16,18.0
4,17,20.0
4,18,21.0
4,19,21.0
4,20,22.0
4,21,24.0
4,22,25.0
4,23,25.0
4,24,26.0
4,25,27.0
4,26,30.0
4,27,31.0
4,28,32.0
4,29,32.0
4,30,32.0
4,31,34.0
4,32,34.0
4,33,34.0
4,34,35.0
4,35,36.0
4,36,36.0
4,37,37.0
4,38,37.0
5,1,0.0
5,2,3.0
5,3,4.0
5,4,5.0
5,5,5.0
5,6,6.0
5,7,8.0
5,8,10.0
5,9,11.0
5,10,12.0
5,11,14.0
5,12,14.0
5,13,17.0
5,14,20.0
5,15,20.0
5,16,21.0
5,17,21.0
5,18,22.0
5,19,23.0
5,20,23.0
5,21,23.0
5,22,24.0
5,23,24.0
5,24,26.0
5,25,28.0
5,26,28.0
5,27,30.0
5,28,33.0
5,29,33.0
5,30,34.0
5,31,34.0
5,32,35.0
5,33,36.0
5,34,37.0
5,35,38.0
5,36,39.0
5,37,40.0
5,38,42.0
6,1,0.0
6,2,0.0
6,3,1.0
6,4,4.0
6,5,6.0
6,6,11.0
6,7,12.0
6,8,14.0
6,9,18.0
6,10,19.0
6,11,23.0
6,12,25.0
6,13,27.0
6,14,28.0
6,15,28.0
6,16,30.0
6,17,31.0
6,18,31.0
6,19,33.0
6,20,33.0
6,21,35.0
6,22,36.0
6,23,39.0
6,24,39.0
6,25,41.0
6,26,43.0
6,27,43.0
6,28,45.0
6,29,47.0
6,30,51.0
6,31,53.0
6,32,55.0
6,33,57.0
6,34,60.0
6,35,63.0
6,36,63.0
6,37,64.0
6,38,67.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,2.0
7,5,3.0
7,6,3.0
7,7,4.0
7,8,6.0
7,9,8.0
7,10,8.0
7,11,10.0
7,12,10.0
7,13,10.0
7,14,11.0
7,15,13.0
7,16,14.0
7,17,14.0
7,18,15.0
7,19,15.0
7,20,17.0
7,21,18.0
7,22,19.0
7,23,20.0
7,24,22.0
7,25,22.0
7,26,22.0
7,27,23.0
7,28,24.0
7,29,25.0
7,30,26.0
7,31,28.0
7,32,28.0
7,33,28.0
7,34,28.0
7,35,30.0
7,36,30.0
7,37,30.0
7,38,30.0
8,1,0.0
8,2,0.0
8,3,1.0
8,4,1.0
8,5,4.0
8,6,5.0
8,7,5.0
8,8,6.0
8,9,6.0
8,10,8.0
8,11,10.0
8,12,11.0
8,13,13.0
8,14,13.0
8,15,14.0
8,16,16.0
8,17,19.0
8,18,20.0
8,19,20.0
8,20,21.0
8,21,23.0
8,22,24.0
8,23,25.0
8,24,26.0
8,25,28.0
8,26,31.0
8,27,34.0
8,28,36.0
8,29,37.0
8,30,37.0
8,31,37.0
8,32,38.0
8,33,40.0
8,34,40.0
8,35,41.0
8,36,41.0
8,37,42.0
8,38,43.0
9,1,0.0
9,2,0.0
9,3,1.0
9,4,3.0
9,5,6.0
9,6,6.0
9,7,8.0
9,8,13.0
9,9,14.0
9,10,16.0
9,11,25.0
9,12,27.0
9,13,29.0
9,14,31.0
9,15,33.0
9,16,35.0
9,17,39.0
9,18,40.0
9,19,41.0
9,20,41.0
9,21,43.0
9,22,46.0
9,23,47.0
9,24,48.0
9,25,52.0
9,26,54.0
9,27,54.0
9,28,54.0
9,29,54.0
9,30,58.0
9,31,59.0
9,32,59.0
9,33,60.0
9,34,63.0
9,35,64.0
9,36,65.0
9,37,67.0
9,38,67.0
10,1,0.0
10,2,4.0
10,3,6.0
10,4,9.0
10,5,12.0
10,6,15.0
10,7,17.0
10,8,18.0
10,9,20.0
10,10,21.0
10,11,23.0
10,12,25.0
10,13,28.0
10,14,30.0
10,15,32.0
10,16,37.0
10,17,40.0
10,19,42.0
10,20,46.0
10,21,47.0
10,22,49.0
10,23,50.0
10,24,52.0
10,25,56.0
10,26,60.0
10,27,61.0
10,28,64.0
10,29,64.0
10,30,66.0
10,31,66.0
10,32,70.0
10,33,70.0
10,34,72.0
10,35,75.0
10,36,76.0
10,37,77.0
10,38,82.0
11,1,0.0
11,2,5.0
11,3,7.0
11,4,10.0
11,5,14.0
11,6,16.0
11,7,24.0
11,8,27.0
11,9,27.0
11,10,29.0
11,11,32.0
11,12,34.0
11,13,35.0
11,14,37.0
11,15,39.0
11,16,43.0
11,17,44.0
11,18,47.0
11,19,50.0
11,20,52.0
11,21,54.0
11,22,56.0
11,23,62.0
11,24,64.0
11,25,65.0
11,26,65.0
11,27,67.0
11,29,68.0
11,30,68.0
11,31,76.0
11,32,77.0
11,33,81.0
11,34,81.0
11,35,86.0
11,36,91.0
11,37,93.0
11,38,97.0
12,1,0.0
12,2,4.0
12,3,5.0
12,4,6.0
12,5,7.0
12,6,8.0
12,7,8.0
12,8,9.0
12,9,9.0
12,10,10.0
12,11,13.0
12,12,13.0
12,13,16.0
12,14,19.0
12,15,21.0
12,16,23.0
12,17,25.0
12,18,26.0
12,19,26.0
12,20,30.0
12,21,32.0
12,22,32.0
12,23,36.0
12,24,36.0
12,25,36.0
12,26,36.0
12,27,38.0
12,28,41.0
12,29,42.0
12,30,44.0
12,31,45.0
12,32,48.0
12,33,51.0
12,34,56.0
12,35,59.0
12,36,61.0
12,37,63.0
12,38,64.0
13,1,0.0
13,2,0.0
13,3,1.0
13,4,2.0
13,5,3.0
13,6,4.0
13,7,4.0
13,8,4.0
13,9,5.0
13,10,5.0
13,11,6.0
13,12,9.0
13,13,11.0
13,14,11.0
13,15,13.0
13,16,15.0
13,17,17.0
13,18,17.0
13,19,18.0
13,20,19.0
13,21,20.0
13,22,20.0
13,23,21.0
13,24,22.0
13,25,24.0
13,26,24.0
13,27,24.0
13,28,24.0
13,29,24.0
13,30,25.0
13,31,28.0
13,32,29.0
13,33,33.0
13,34,35.0
13,35,35.0
13,36,36.0
13,37,37.0
13,38,37.0
14,1,0.0
14,2,1.0
14,3,4.0
14,4,6.0
14,5,6.0
14,6,9.0
14,7,9.0
14,8,9.0
14,9,10.0
14,10,10.0
14,11,11.0
14,12,11.0
14,13,11.0
14,14,13.0
14,15,15.0
14,16,16.0
14,17,17.0
14,18,18.0
14,19,19.0
14,20,19.0
14,21,21.0
14,22,22.0
14,23,22.0
14,24,23.0
14,25,24.0
14,26,24.0
14,27,24.0
14,28,24.0
14,29,25.0
14,30,25.0
14,31,25.0
14,32,25.0
14,33,25.0
14,34,25.0
14,35,26.0
14,36,26.0
14,37,26.0
14,38,26.0
15,1,0.0
15,2,1.0
15,3,2.0
15,4,3.0
15,5,5.0
15,6,5.0
15,7,7.0
15,8,7.0
15,9,7.0
15,10,8.0
15,11,9.0
15,12,12.0
15,13,13.0
15,14,16.0
15,15,17.0
15,16,17.0
15,17,19.0
15,18,21.0
15,19,22.0
15,20,23.0
15,21,23.0
15,22,23.0
15,23,24.0
15,24,25.0
15,25,25.0
15,26,26.0
15,27,28.0
15,29,29.0
15,30,30.0
15,31,30.0
15,32,30.0
15,33,33.0
15,34,34.0
15,35,35.0
15,36,38.0
15,37,38.0
15,38,38.0
16,1,0.0
16,2,0.0
16,3,1.0
16,4,3.0
16,5,4.0
16,6,5.0
16,7,6.0
16,8,7.0
16,9,8.0
16,10,9.0
16,11,9.0
16,12,10.0
16,13,11.0
16,14,13.0
16,15,15.0
16,16,17.0
16,17,18.0
16,18,18.0
16,19,21.0
16,20,23.0
16,21,24.0
16,22,25.0
16,23,27.0
16,24,29.0
16,25,31.0
16,26,31.0
16,27,32.0
16,28,34.0
16,29,35.0
16,30,35.0
16,31,38.0
16,32,38.0
16,33,41.0
16,34,42.0
16,35,43.0
16,36,45.0
16,37,46.0
16,38,48.0
17,1,0.0
17,2,3.0
17,3,5.0
17,4,5.0
17,5,7.0
17,6,11.0
17,7,12.0
17,8,14.0
17,9,14.0
17,10,15.0
17,11,16.0
17,12,17.0
17,13,18.0
17,14,21.0
17,15,24.0
17,16,25.0
17,17,30.0
17,18,32.0
17,19,32.0
17,20,34.0
17,21,36.0
17,22,36.0
17,23,36.0
17,24,36.0
17,25,38.0
17,26,40.0
17,27,43.0
17,28,44.0
17,29,46.0
17,30,47.0
17,31,48.0
17,32,50.0
17,33,51.0
17,34,52.0
17,35,52.0
17,36,54.0
17,37,57.0
17,38,60.0
18,1,0.0
18,2,0.0
18,3,0.0
18,4,1.0
18,5,2.0
18,6,4.0
18,7,4.0
18,8,4.0
18,9,4.0
18,10,5.0
18,11,5.0
18,12,6.0
18,13,8.0
18,14,8.0
18,15,9.0
18,16,9.0
18,17,9.0
18,18,9.0
18,19,11.0
18,20,12.0
18,21,15.0
18,22,17.0
18,23,20.0
18,24,20.0
18,25,21.0
18,26,23.0
18,27,24.0
18,28,24.0
18,29,27.0
18,30,27.0
18,31,28.0
18,32,28.0
18,33,29.0
18,34,29.0
18,35,31.0
18,36,33.0
18,37,34.0
18,38,34.0
19,1,0.0
19,2,0.0
19,3,1.0
19,4,4.0
19,5,6.0
19,6,6.0
19,7,8.0
19,8,10.0
19,9,11.0
19,10,11.0
19,11,12.0
19,12,14.0
19,13,14.0
19,14,16.0
19,15,17.0
19,16,17.0
19,17,18.0
19,19,19.0
19,20,20.0
19,21,21.0
19,22,25.0
19,23,25.0
19,24,26.0
19,25,27.0
19,26,30.0
19,27,30.0
19,28,32.0
19,29,35.0
19,30,35.0
19,31,35.0
19,32,35.0
19,33,38.0
19,34,40.0
19,35,40.0
19,36,44.0
19,37,47.0
19,38,48.0
20,1,0.0
20,2,0.0
20,3,1.0
20,4,2.0
20,5,4.0
20,6,6.0
20,7,7.0
20,8,9.0
20,9,11.0
20,10,12.0
20,11,13.0
20,12,14.0
20,13,16.0
20,14,18.0
20,15,19.0
20,16,21.0
20,17,23.0
20,18,24.0
20,19,26.0
20,20,29.0
20,21,29.0
20,22,30.0
20,23,31.0
20,24,34.0
20,25,35.0
20,26,35.0
20,27,35.0
20,28,38.0
20,29,41.0
20,30,41.0
20,31,43.0
20,32,44.0
20,33,45.0
20,34,45.0
20,35,45.0
20,36,48.0
20,37,49.0
20,38,51.0
